,sentence,sector,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9
0,Institutional Environment,1,0,0,0,0,0,0,0,0,0
1,"There is a general, emerging consensus among economists that one of the most important factors for sustainable economic development is a supportive institu-tional environment.",1,0,0,0,0,0.042843597,0,0,0,0
2,"Very broadly defined, institutional environment includes factors such as political stability, governance, the macroeconomic environment, the quality of the State bureaucracy, and the general business environment with a strong emphasis on the participation and contribution of the private sector to economic growth and creation of employment.",1,0,0.047958508,0.029922861,0,0.036954087,0,0.022941336,0.067785413,0
3,"Arguably, the private sector has the greatest potential to create value for both business and society in the area of expanding economic opportunities.",1,0,0.038095238,0,0,0,0,0,0,0
4,"Business activities can create jobs and entrepreneurial opportunities, build human capital and physical infrastructure, generate revenue for Government, and improve competitiveness in the economy.",1,0,0.029283161,0,0,0.044029016,0,0.058491172,0,0
5,"The private sector has a role to play not only by being a catalyst for economic growth and development, but also by working with Government to implement policy through PPPs.",1,0,0,0,0,0.094814779,0,0.100942073,0.031841844,0
6,"Since independence in 1990, Namibia‰Ûªs overall institutional environment has been broadly satisfactory and supportive of economic development.",1,0,0,0,0,0.053180465,0,0,0,0
7,"Perhaps the most outstanding feature of this environment is our political stability, as reflect-ed in the absence of war and conflict.",1,0,0,0,0,0,0,0,0,0
8,"Because peace has reigned in the country, Namibians can live and work in a safe and secure environment.",1,0,0.052747253,0,0,0.118614377,0,0.187659645,0.231876538,0
9,"Our democracy is flourishing, and elections at national, regional and local levels are held regular-ly in a free, fair and transparent manner.",1,0,0.062049492,0,0.041735356,0.041735356,0,0.036890646,0.060150889,0
10,"We can be proud of our Constitution, which allows for the protection of private property, amongst other things, and related laws are actively enforced.",1,0,0.086069319,0,0,0,0,0.044614966,0.209435515,0
11,Our macroeconomic environment is the envy of many nations in the world: Namibia is in the fortunate position of having sim-ultaneous internal and external economic stability.,1,0,0.093123468,0,0,0,0,0,0,0
12,"Our internal stability is re-flected in a sustainable fiscal position and stable prices, while our external stabil-ity is reflected in a positive savings investment balance.",1,0,0,0.035167133,0,0,0,0,0.081070866,0
13,"Due to our solid institutional underpinnings as well as excellent macroeconomic management practices, Namibia is rated favourably by a number of international agencies such as the International Monetary Fund, World Bank, Transparency International, and the Heritage Foundation.",1,0,0,0,0.034356721,0.107001401,0.088630091,0.078192902,0,0.042232278
14,"Namibia is one of very few African countries that have both Fitch and Moody investment credit ratings, and Namib-ia‰Ûªs debut issue of a Eurobond in 2011 was well received.",1,0,0.080861832,0,0,0,0.059649123,0,0,0.107123455
15,The recent reclassifica-tion of Namibia as an upper-middle-income country is yet another indication of our country‰Ûªs successful macroeconomic performance.,1,0,0.106775715,0,0,0,0.052118388,0.065985026,0,0.048407172
16,"Despite sound policies overall, a number of challenges in the institutional envi-ronment remain, as outlined below.",1,0,0,0,0,0,0.066666667,0.041417237,0,0.062745098
17,These have been given attention in the NDP4 in order to unleash Namibia‰Ûªs full growth potential.,1,0,0,0.060200669,0.120629736,0.120629736,0,0.053613054,0.051282051,0
18,Environmental management,1,0,0,0,0.169414174,0.169414174,0,0,0,0
19,"The Republic of Namibia accords high priority to environmental protection for sustainable development, hence it has adopted a number of policies since 1990 to manage and preserve the environment.",1,0,0.058193734,0,0,0.038833605,0.050574713,0.089871306,0.087786247,0.046653144
20,It recognizes that environmental management is both an enabler and driver of economic development.,1,0,0,0,0.07187268,0.144865474,0,0,0,0
21,The issue of environmental management is firmly anchored in Namibian laws and policies whose roots are in the Namibian Constitution and has earned the country an excellent reputation internationally for prudent environmental management based on innovative and progressive legislative framework.,1,0,0.055364858,0,0.069930175,0.069930175,0.046846847,0.024486542,0.023562384,0.082514012
22,"The Namibian Constitution states that we must maintain our ecosystems, essen-tial ecological processes and biological diversity of Namibia and utilize our living natural resources in a sustainable manner for the benefit of all Namibian, both present and future.",1,0,0.028571429,0.099062563,0.035262117,0.075863621,0,0.076297317,0,0
23,"The environmental challenges in Namibia include, freshwater scarcity, land deg-radation, deforestation, unsustainable use of coastal and marine resources, and vulnerability to climate change.",1,0,0.059554045,0.074400268,0,0.043557169,0.044959901,0.028158571,0.026132272,0.131163717
24,Macroeconomic stability,1,0,0,0,0,0,0,0,0,0
25,"While we currently have macroeconomic stability, the recent increase in Govern-ment debt levels has shifted the focus to policies that increase revenue and curb increases in expenditure in order to ensure fiscal sustainability.",1,0,0.052386612,0,0.03804034,0.03804034,0,0.026720798,0.050386541,0
26,"During the time of the global economic crisis, the Namibian Government deliberately utilised its fiscal space to stimulate economic activity in a counter-cyclical manner.",1,0.056980057,0,0,0.038938278,0.083772586,0.051851852,0.144345033,0,0
27,"Over this period and subsequently however, the government has remained committed to fiscal discipline.",1,0,0.059462142,0.065807904,0,0,0,0.061326626,0,0
28,"This will maintain market confidence, ensure sustained econom-ic growth, and create fiscal space for potential exogenous shocks.",1,0,0,0,0,0,0,0,0,0
29,"As a small, open economy, Namibia‰Ûªs economic performance is inextricably linked to its global counterpart.",1,0.071794872,0,0,0,0,0.129757347,0.045084283,0,0.059379464
30,"Therefore, the Government needs to be prepared for exter-nal shocks that could potentially hamper economic growth.",1,0,0,0,0,0,0,0.052565679,0.104795645,0
31,Government revenues have been a concern for some time now.,1,0,0,0,0,0,0,0.457753028,0.084249084,0
32,"Challenges es-sentially emanate from three factors: a shallow revenue base, notwithstanding the introduction of new revenue streams; weaknesses in the collection process; and an over-reliance on Southern African Customs Union receipts, which are projected to diminish in the near future due to ongoing trade liberalisation initia-tives.",1,0,0.0219373,0.030357661,0.034932624,0.071463455,0.037751408,0.070301549,0.022299052,0.037551662
33,"On the Government expenditure side, the wage bill, which has ballooned over the past few years, is a matter of concern.",1,0,0.443508949,0,0,0.056057323,0,0.135141196,0.046153846,0
34,"Moreover, the economy faces substantial downside risks emanating from the deteriorating global environ-ment, putting additional pressure on fiscal sustainability.",1,0.062271062,0,0,0,0,0.057142857,0,0.036630037,0
35,"These factors will all be carefully monitored during the NDP4 cycle, and policy will be attuned according-ly through an appropriate mix of fiscal and monetary policy responses.",1,0,0,0,0,0,0,0.066563416,0,0
36,The business environment,1,0,0,0,0,0,0,0,0,0
37,"We have a stable macroeconomic environment, however, necessary reforms in order to make the business environment more dynamic and improve our growth trajectory have either not been embarked upon, or not implemented successful-ly.",1,0,0,0,0.041509619,0.041509619,0,0,0.065641026,0
38,"This disconnect is reflected in international surveys on competitiveness that score Namibia relatively highly on institutional and macro issues, but poorly with respect to micro issues.",1,0,0.086660576,0,0,0,0.125490196,0,0,0.226149515
39,"Challenges relating to the business environment can be broadly categorised as those facing start-up firms and those facing existing businesses, especially micro, small- and medium-scale enterprises (MSMEs).",1,0,0,0,0,0,0,0,0,0.052450463
40,"Under each of these two broad categories, a number of issues need attention.",1,0,0.069254392,0.077294686,0.079086994,0.079086994,0.517098178,0.269913955,0.068376068,0.572647908
41,"These issues often cut across all existing businesses, and include the following:",1,0,0.179431834,0,0,0,0.2,0,0,0.376915859
42,Ease of doing business in Namibia.,1,0,0,0,0,0,0,0,0,0
43,Access to finance and land.,1,0,0.114285714,0,0,0,0,0.115151515,0.225641026,0.129411765
44,Access to skills.,1,0,0,0,0,0,0,0.181818182,0.358974359,0
45,R&D and innovation.,1,0,0,0,0,0,0,0,0,0
46,Labour flexibility and productivity.,1,0.130494464,0.215419432,0,0,0,0,0,0,0
47,Public service delivery.,1,0.127232095,0.210033934,0,0,0.109804084,0,0.784935578,0.769046194,0
48,Unemployment.,1,0,0,0,0,0,0,0,0,0
49,Public and private sector cooperation.,1,0,0,0,0,0,0,0,0,0
50,The Government incentive regime.,1,0,0,0,0,0,0,0.099874791,0,0
51,Ease of doing business,1,0,0,0,0,0,0,0,0,0
52,"Regarding the ease of doing business in Namibia, the critical issues are the num-ber of days and the number of procedures it takes to register a business com-pared with competitor economies.",1,0,0.165055093,0,0,0,0.106666667,0.031285763,0.08605304,0.144394561
53,"According to the latest World Bank report on doing business worldwide, it takes 66 days and 10 procedures to set up a new business in Namibia, while average figures for Organisation for Economic Co-operation and Development (OECD) countries are 5 days and 12 procedures re-spectively.",1,0.044803284,0.23433387,0,0,0.03489216,0.171826195,0.098836282,0.066755303,0.157226584
54,"In sub-Saharan Africa, Rwanda tops the list as the easiest country to set up a new business, with only two days and three procedures required.",1,0,0.183714663,0,0,0,0,0.034676338,0,0
55,"Fur-thermore, registering property, paying taxes and trading across borders are comparatively difficult in Namibia, according to the report.",1,0,0,0.054553891,0,0,0,0,0.133147625,0
56,Access to finance,1,0,0,0,0,0,0,0.181818182,0.358974359,0
57,"Access to finance for enterprises remains a key challenge, particularly for start-ups and for micro and small-scale enterprises.",1,0,0,0,0,0,0,0.041467305,0.078272605,0
58,"High bank user charges and fees, high transaction costs, low levels of financial literacy, and, partly, a lack of appro-priate and innovative finance products (e.g. microfinance) and instruments (e.g. venture capital, bridging finance) are key factors limiting access to finance.",1,0,0.277363761,0,0,0.034457491,0.037566573,0.070688627,0.164899271,0.034067726
59,"In addition to these, small- and medium-scale enterprises often lack the necessary collateral to qualify for bank loans.",1,0,0,0,0,0,0,0,0.084464555,0.057971564
60,"This implies that MSMEs are unable to buy equipment to invest in or expand their businesses in order to produce more goods and services, and to employ more people.",1,0.057644049,0.102935911,0,0.04492383,0.088496879,0,0.188355347,0.143234585,0
61,Their source of capital for ex-pansion is often limited to profit and inputs from family and friends.,1,0,0.039007171,0,0.055285636,0.054726603,0.057670562,0.04456328,0,0.054066152
62,Access to land,1,0,0.180952381,0,0,0,0,0.181818182,0.358974359,0.196078431
63,Access to serviced land is yet another inhibiting factor for existing and new busi-nesses alike.,1,0,0.052747253,0,0,0,0,0.053613054,0.102564103,0.067873303
64,"Issues with regard to availability, affordability, tenure and delivery affect the current dynamics of urbanisation and business development.",1,0.059523787,0.114877647,0,0,0.046923939,0.059649123,0.039523351,0.037301625,0.107123455
65,"The greatest bottleneck is the non-availability of serviced land in towns, villages and settlement areas, as well as communal land.",1,0,0.121804511,0,0,0,0,0,0,0.111455108
66,"The processes required to deliver land according to the requirements of the Townships and Division of Land Amendment Act, 1992 [No. 28 of 1992] is lengthy due to a serious lack of registered town planners and surveyors.",1,0,0,0,0,0,0.053333333,0,0.065641026,0.049411765
67,"In particular, micro and small-scale business-es struggle with land registration and the non-collateralisation of existing land rights in communal and non-formalised urban areas.",1,0,0.09124424,0,0,0.038090187,0,0.027632844,0.051147332,0.091081594
