,sentence,sector,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9
0,"Institutional Environment

There is a general, emerging consensus among economists that one of the most important factors for sustainable economic development is a supportive institu-tional environment.",1,0.0,0.0,0.0,0.0,0.03997224457389348,0.0,0.0,0.0,0.0
1,"Very broadly defined, institutional environment includes factors such as political stability, governance, the macroeconomic environment, the quality of the State bureaucracy, and the general business environment with a strong emphasis on the participation and contribution of the private sector to economic growth and creation of employment.",1,0.0,0.04795850836937497,0.029922860931990796,0.0,0.036954087346024636,0.0,0.022941335543379345,0.0677854131395881,0.0
2,"Arguably, the private sector has the greatest potential to create value for both business and society in the area of expanding economic opportunities.",1,0.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Business activities can create jobs and entrepreneurial opportunities, build human capital and physical infrastructure, generate revenue for Government, and improve competitiveness in the economy.",1,0.0,0.029283160879216882,0.0,0.0,0.044029016251014096,0.0,0.05849117208486965,0.0,0.0
4,"The private sector has a role to play not only by being a catalyst for economic growth and development, but also by working with Government to implement policy through PPPs.
Since independence in 1990, Namibia’s overall institutional environment has been broadly satisfactory and supportive of economic development.",1,0.0,0.0,0.0,0.0,0.11084931919839272,0.0,0.07426669053908594,0.022891703812148983,0.0
5,"Perhaps the most outstanding feature of this environment is our political stability, as reflect-ed in the absence of war and conflict.",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Because peace has reigned in the country, Namibians can live and work in a safe and secure environment.",1,0.0,0.05274725274725275,0.0,0.0,0.11861437705202213,0.0,0.18765964536535248,0.23187653784784,0.0
7,"Our democracy is flourishing, and elections at national, regional and local levels are held regular-ly in a free, fair and transparent manner.",1,0.0,0.06204949202697586,0.0,0.041735356060593407,0.041735356060593407,0.0,0.03689064558629776,0.06015088922674078,0.0
8,"We can be proud of our Constitution, which allows for the protection of private property, amongst other things, and related laws are actively enforced.",1,0.0,0.086069319345205,0.0,0.0,0.0,0.0,0.044614966481959284,0.2094355153724164,0.0
9,Our macroeconomic environment is the envy of many nations in the world: Namibia is in the fortunate position of having sim-ultaneous internal and external economic stability.,1,0.0,0.09312346793302918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Our internal stability is re-flected in a sustainable fiscal position and stable prices, while our external stabil-ity is reflected in a positive savings investment balance.",1,0.0,0.0,0.035167133201825754,0.0,0.0,0.0,0.0,0.08107086590894882,0.0
11,"Due to our solid institutional underpinnings as well as excellent macroeconomic management practices, Namibia is rated favourably by a number of international agencies such as the International Monetary Fund, World Bank, Transparency International, and the Heritage Foundation.",1,0.0,0.0,0.0,0.03435672062811481,0.10700140149602326,0.08863009099433716,0.07819290165457615,0.0,0.042232277526395176
12,"Namibia is one of very few African countries that have both Fitch and Moody investment credit ratings, and Namib-ia’s debut issue of a Eurobond in 2011 was well received.",1,0.0,0.0808618320622938,0.0,0.0,0.0,0.05964912280701754,0.0,0.0,0.10712345460869789
13,The recent reclassifica-tion of Namibia as an upper-middle-income country is yet another indication of our country’s successful macroeconomic performance.,1,0.0,0.1067757145257182,0.0,0.0,0.0,0.05211838840390006,0.06598502576206755,0.0,0.04840717189216724
14,"Despite sound policies overall, a number of challenges in the institutional envi-ronment remain, as outlined below.",1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.04141723670649628,0.0,0.06274509803921569
15,These have been given attention in the NDP4 in order to unleash Namibia’s full growth potential.,1,0.0,0.0,0.06020066889632107,0.12062973567263496,0.12062973567263496,0.0,0.053613053613053616,0.05128205128205128,0.0
16,"Environmental management

The Republic of Namibia accords high priority to environmental protection for sustainable development, hence it has adopted a number of policies since 1990 to manage and preserve the environment.",1,0.0,0.05433619472292559,0.0,0.036403045681200015,0.07337342208551256,0.048484848484848485,0.08407315729581503,0.08168345968364783,0.044563279857397504
17,It recognizes that environmental management is both an enabler and driver of economic development.,1,0.0,0.0,0.0,0.07187267993467696,0.1448654743739607,0.0,0.0,0.0,0.0
18,The issue of environmental management is firmly anchored in Namibian laws and policies whose roots are in the Namibian Constitution and has earned the country an excellent reputation internationally for prudent environmental management based on innovative and progressive legislative framework.,1,0.0,0.055364857988597554,0.0,0.06993017507157757,0.06993017507157757,0.04684684684684685,0.024486541971746115,0.023562384220184734,0.08251401233372675
19,"The Namibian Constitution states that we must maintain our ecosystems, essen-tial ecological processes and biological diversity of Namibia and utilize our living natural resources in a sustainable manner for the benefit of all Namibian, both present and future.",1,0.0,0.02857142857142857,0.09906256283293338,0.03526211716139933,0.07586362092079783,0.0,0.07629731718591977,0.0,0.0
20,"The environmental challenges in Namibia include, freshwater scarcity, land deg-radation, deforestation, unsustainable use of coastal and marine resources, and vulnerability to climate change.",1,0.0,0.05955404515052604,0.07440026801624146,0.0,0.043557168784029036,0.04495990145195738,0.028158570825190025,0.02613227168392325,0.13116371744374558
21,"Macroeconomic stability

While we currently have macroeconomic stability, the recent increase in Govern-ment debt levels has shifted the focus to policies that increase revenue and curb increases in expenditure in order to ensure fiscal sustainability.",1,0.0,0.049211666090360165,0.0,0.03638830200460073,0.03638830200460073,0.0,0.025146179428944173,0.04717825505249438,0.0
22,"During the time of the global economic crisis, the Namibian Government deliberately utilised its fiscal space to stimulate economic activity in a counter-cyclical manner.",1,0.05698005698005698,0.0,0.0,0.03893827752390461,0.08377258551610733,0.05185185185185185,0.14434503282553263,0.0,0.0
23,"Over this period and subsequently however, the government has remained committed to fiscal discipline.",1,0.0,0.05946214217597718,0.06580790438448067,0.0,0.0,0.0,0.061326625847679325,0.0,0.0
