,sentence,sector
0,Education Sector,1
1,"The single most important factor towards achieving the socio-economic development goals will be the success of the education sector in enhancing the social, economic, cultural, environmental, and political capabilities of our most important asset, our people.",1
2,"Education virtually impacts all dimensions of development and is critical for ensuring sustainable poverty alleviation which can only come through the empowerment of our people, particularly the remote and most vulnerable sections of our population.",1
3,"An educated citizenry that is able to understand, translate and act upon information, laws, rights and responsibilities is critical for ensuring a ""vibrant democracy"" and effective governance.",1
4,"Similarly, the realization of our vision of a ""knowledge based society"" is absolutely dependent on a technically skilled workforce with competencies benchmarked to leading industry standards and capabilities to think globally but act locally.",1
5,"Recognizing this, the education sector continues to remain a strategic priority for the Royal Government and will be given further impetus in the Eleventh Plan.",1
6,"Education in Bhutan comprises early childcare development, primary and secondary education, special education for the physically and mentally challenged, non-formal and adult education, monastic education, vocational and technical education and training (TVET) and higher or tertiary education.",1
7,"The responsibility for the administration of education in Bhutan is shared amongst the Ministry of Education (MoE), the Ministry of Labour and Human Resources (MoLHR), the Royal University of Bhutan (RUB), and the local governments.",1
8,Provision of monastic education is facilitated by the central monastic body and privately managed independent monasteries.,1
9,"Although education plans are centrally coordinated, their implementation has largely been decentralized to local governments, schools and institutions to ensure greater autonomy, accountability and dynamism to achieve desired educational outcomes.",1
10,"The school-based education structure comprises of 11 years of free basic education from classes Pre Primary to X, divided into 7 years of primary education (PP-VI), starting at the age of 6, and 4 years of Secondary Education (VII-X).",1
11,"At the end of the cycle (Class X) there is a national board examination, Bhutan Certificate for Secondary Education (BCSE).",1
12,"Beyond class X, government funded education is based on merit.",1
13,The Bhutan Council for School Examinations and Assessment (BCSEA) conducts the national examinations for classes X and XII.,1
14,"The examinations for classes VI and VIII have been decentralized to the schools, although the questions, model answers and marking schemes are provided by the BCSEA.",1
15,"The TVET system comprises of 8 institutes spread across the country with an intake capacity of about 1,000 students a year and 138 teachers.",1
16,"Programmes offered vary from 6 months to 2 years at the certificate level in courses ranging from electrical, mechanical, construction engineering, auto-mechanics, driving, computer hardware, carpentry, furniture making.",1
17,The two institutes of Zorig Chusum provide 2-6 year programmes in the 13 traditional arts and crafts.,1
18,These institutes generally cater to students or school leavers after Class X with the objective of imparting knowledge skills necessary to make them employable in the labour market.,1
19,"Tertiary education in Bhutan comprises of three years of undergraduate studies provided by the Royal University of Bhutan (RUB) through its 10 constituent colleges located in various parts of the country and one private college, the Royal Thimphu College.",1
20,"The current total intake of RUB is about 9,000 students.",1
21,"Under-graduate degree and diploma programmes include civil, mechanical, computer and electrical engineering, natural resources, language and cultural studies, education, traditional medicine, nursing and health science, business and commerce, sciences, and liberal arts studies.",1
