,1.1,1.2,1.3,1.4,1.5
"Education virtually impacts all dimensions of development and is critical for ensuring sustainable poverty alleviation which can only come through the empowerment of our people, particularly the remote and most vulnerable sections of our population",0.16521739130434782,0.17854600698197448,,,0.038980509745127435
Provision of monastic education is facilitated by the central monastic body and privately managed independent monasteries,0.0,0.0,,,
"Tertiary education in Bhutan comprises of three years of undergraduate studies provided by the Royal University of Bhutan (RUB) through its 10 constituent colleges located in various parts of the country and one private college, the Royal Thimphu College",0.11778596855324155,0.07032587641074539,,,
"This 1.5 percent are assumed to be children in remote and hard to reach areas, children of nomadic communities, children with learning disabilities whose special learning needs are yet to be catered for and children of the urban poor.",0.0,0.23618422752338836,0.042444821731748725,,
"On the other hand Bhutan continues to face an acute shortage of skilled and highly specialized manpower such as doctors, engineers, ICT experts and teachers",0.0,0.09452019312209743,,,
This has resulted in a paradoxical situation of relatively high levels of youth unemployment and a critical skills shortage at the same time,0.05633073265409886,0.05021109327983162,0.05572755417956656,,
"The fact that most of our students are unable to meet the admission criteria of top tier tertiary education institutions abroad, particularly for professional courses, is but one testament of the poor learning outcomes of our education not being commensurate to the requirements of youth today",0.04334420526663859,0.0,,,
Some of the key deficiencies in the quality of learning outcomes and processes highlighted in the report include:,0.0,0.05966529102756344,,,
The overall level of performance of students is just above passing grades;,0.0,0.0,,,
Graduates lack basic analytical and communication skills and the attitudes needed as entry level professions;,0.0,0.0,,,
"Schools lack quality processes for developing teachers' capacity, the autonomy and instructional resources to initiate academic improvement and the essential physical infrastructure to support learning;",0.0,0.03923641420834335,0.042275332537529874,,
"The report underscored three critical reasons for the persistence of ineffective classroom practices across schools: namely under-prepared teachers, lack of appropriate curricular resources, and poor instructional leadership and in-service training",0.0,0.0,,0.17400259790171094,
"However, our education system continues to be constrained by an acute shortage of teachers and limited capacities",0.0,0.0,0.07177033492822966,,
"Some of the reasons for this include lack of incentives, both financial and non-financial incentives, perceived poor career progression and limitations in the recruitment process",0.0,0.0,,,
The possible introduction of a vouchers scheme for meeting the targets for tertiary enrolment that will also encourage private participation in this sector.,0.0,0.04617979090023962,,,
Due to lack of economies of scale the difficulty of providing appropriate and adequate infrastructure facilities and resources results in multi-grade teaching learning situations which ultimately compromise the overall quality of education.,0.0,0.03440377668121601,,,
"Similarly, the downgraded schools or ECRs would be developed to ensure quality learning for the remaining students, and the additional teachers made available as a result of the rationalization would be redeployed by the Dzongkhag to the schools which face teacher shortage.",0.0,0.03923641420834335,,,
"Improved service delivery and private participation: To ensure sustainability, school administration and governance system will be strengthened and private participation actively pursued",0.0,0.0,,,
Private participation and schemes to encourage self-financed students particularly in tertiary education will be developed.,0.0,0.0,,,
"Enhance quality and relevance of tertiary education programmes to meet the needs of individuals as well as the industry and society at large.i)Improve quality of TVET/VTI - infrastructure expansion, program diversification and curriculum improvement in close collaboration with the industries and private sector; and improving capacity of the instructors.",0.0,0.11795820637456916,0.0657980237251192,,
The lack of progress on HIV/AIDS remains a concern,0.0,0.0,,,
"The enactment of the University of Medical Sciences of Bhutan (UMSB) Act and its establishment in 2012, is a major initiative of the Health Sector towards providing in-country professional medical education and, thereby, addressing the critical shortage of health and allied professionals.",0.11955452663962655,0.03238497427285651,,,
Delivering Quality Health Care - The public expectation for quality health care is viewed against the five-star private hospitals,0.0,0.08203977516289972,,,
Health Human Resource: The Bhutanese Health System suffers from acute shortage of all categories of health personnel,0.0,0.08919763100201196,,,
Therefore we will continue to face health human resource shortage in the Eleventh Plan even as we face the need to expand health services,0.0,0.05012531328320802,,,
"Workload, remuneration, and many other workplace factors need to be looked beyond Civil Service norms otherwise shortage of health human resource will become a major problem.In comparison to Bhutan's 2 doctors per 10,000 people in 2012, India had 6 doctors per 10,000 people in 2003, Malaysia had 7 doctors per 10,000 people in 2000, Pakistan had 7 doctors per 10,000 people in 2003 and Singapore had 14 doctors per 10,000 people in 200133.",0.6470588235294118,0.03361344537815126,,,
"Bhutan has also been experiencing sporadic outbreaks of vitamin deficiencies, particularly Vitamin B1 and B12 since 1998, and occurrences have been recorded almost every year",0.0,0.0,,,
"In addition, measures such as enhancing effectiveness and improving efficiency, and other alternative options to maintain constitutional commitment to provide free health care services and also to achieve UHC will be explored. Standardization of eHealth and interoperability -Recognizing that lack of data within and between systems hinders care and leads to fragmentation of the health information system, it is vital to develop measures for effective and timely transmission of data",0.0,0.027266932162728352,,,
"Medicines, Technologies & Logistics -Through the program all health facilities in the country will be well equipped with medical equipments and essential drugs to prevent shortages of such items on real time basis.",0.17063528713451642,0.10927622052431606,,,
"However, the quality of human resources particularly in professional and high skilled areas continues to be a constraining factor, both in the public and private sector",0.0,0.13679757418911498,,,
"Due to small and nascent private sector, most job seekers prefer jobs in the civil service for better job security, career advancement and training & educational opportunities.",0.0,0.03465444410510341,0.12006003928135914,,
Lack of qualified human resources in various positions is an issue and only about 47 percent of the civil servants meet the minimum qualification criteria,0.0,0.1374983494822132,,,
The current human resource development strategy also lacks synergy between the education system and manpower needs leading to mismatch of aspirations of the job seekers and jobs available,0.0,0.11812950733037558,,,
"For instance, in the education sector, where there is already an acute shortage of teachers, the teacher turnover is high at about 4 percent annually",0.0,0.10420585924851349,,,
The key result areas will be based on RCSC's Human Resource Development Master Plan for civil service and Ministry of Labour and Human Resources' HRD Plan for Private Sector.,0.0,0.11172833633230118,,,
"In terms of human resource development, the focus will be on creating skills and knowledge to achieve the objectives of EDP 2010, with an emphasis on addressing the acute shortage of skilled professionals such as doctors, educationists, engineers, architects and ICT specialists",0.0,0.07631704155320787,,,
The support to private sector will mainly be in terms of short-term vocational skills and entrepreneurship skills training.,0.0,0.04617979090023962,,,
Even among the employed many are still vulnerable and lack income and social security as 40 percent of those employed are agriculture family workers,0.17395759615763015,0.09815450041046567,0.16718266253869968,,
This indicates either a poor synergy between the education system and manpower needs resulting in a lack of skilled manpower or a mismatch of potential employees and jobs available.,0.0,0.16883666750999993,,0.17617432519699494,
Private Sector Development;,0.0,0.10742877672582059,,,
"For an agrarian country like Bhutan, the RNR sector plays a vital role in bringing about equitable development through enhancing rural prosperity and poverty alleviation",0.13610823032819022,0.08182278326635263,,,
"However, in spite of the changes and innovations infused over the years to propel RNR sector growth, the sector's growth remained insufficient to adequately address rural poverty, attain food security and to sustain the overall economic growth",0.0,0.1394160231917877,0.03982930298719772,0.08981605198406624,
"The sector's full potential is challenged by low productivity due to issues such as acute shortage of farm labour driven by outbound rural-urban migration, loss of arable land to urbanization, difficult terrain, fragmented land holdings, loss of crops to wildlife, lack of access to market and agricultural credit, climate change and natural disasters, post harvest management issues and subsistence nature of farming",0.20416234549228535,0.14059958462906072,,,
"In terms of access, about 3 percent of the population spends less per person than the food poverty line of Nu",0.171989968365426,0.10409597436623302,,0.21819424764891587,
"This could be attributed to various factors such as declining investment in the agriculture sector, loss of prime agriculture land to other use, climate change, land being kept fallow due to shortage of farm labour/irrigation, loss of crop to wildlife and limited scope of mechanization",0.22443378405180303,0.09060569129766832,,,
Labor shortage including increasing feminization of the agricultural labour force is becoming one of the leading constraints in agriculture production,0.0,0.043766929876804576,,,
"If this trend continues, it is likely that more and more people could leave their farms which could adversely impact the goals of achieving food and nutrition security, reducing unemployment levels and, may likely reverse the gains achieved in poverty reduction.",0.16,0.04380952380952381,0.09263157894736843,0.0,0.0
Enabling environment: A policy and legal framework that incentivizes RNR production and promotes private sector investment will be implemented,0.0,0.04349343187280185,,,
"Promote private sector participation and contract farming: Government will facilitate an enabling environment for private sector participation and contract farming to enhance market access, innovations and technical expertise",0.0,0.06476994854571302,,,
"Private sector participation will be encouraged in the entire value-chain, starting from agriculture input supply to production, processing, distribution and marketing.",0.0,0.038013259456828825,,,
A reliable institutional mechanism will be established to effectively cater to the needs of the interested private entities,0.0,0.0547303500485154,,,
"Wherever applicable, best practices gained from the Hazel nut and Coffee plantation ventures will be used to attract private investment in the RNR sector.",0.0,0.038013259456828825,,,
This is due to lack of tourism products in these Dzongkhags,0.0,0.0,,,
"Since October 2013, a private airline, Bhutan Airlines owned by of Tashi Air Private Limited, started operating between Paro and Bangkok sector with one Airbus 320.",0.0,0.039522292440937336,,,
"The other major challenge faced is the shortage of manpower in the form of trained guides, skilled workers in hospitality sector, qualified and experienced professionals in product development, destination marketing and other tourism-related services",0.0,0.10737883625941885,,,
"Lack of tourist infrastructure facilities/amenities, travel time and limited tourism products are some of the reasons for other Dzongkhags not benefitting much from the sector",0.05130120295284003,0.08624447531901111,,,
"However, with the completion of three domestic airports and efforts already underway to create infrastructure facilities and products in Central, South and East, the lack of regional spread is expected to be addressed in the next few years.",0.0,0.0380952380952381,,,
